budgetRange,name,label,quarter,date,price(per.sqft)
LUXURY,Runwal My City,PROJECT,"oct-dec,2020",12/31/2020,7250
MID,Lodha Regency,PROJECT,"jan-mar,2018",03/31/2018,5850
Premium,Dombivli East,LOCALITY,"oct-dec,2022",12/31/2022,7200
Premium,Gograswadi,LOCALITY,"oct-dec,2021",12/31/2021,7700
LUXURY,Lodha Casa Bella Gold,PROJECT,"oct-dec,2020",12/31/2020,6650
Premium,Dombivli East,LOCALITY,"apr-june,2021",06/30/2021,6600
MID,Lodha Palava Downtown,PROJECT,"oct-dec,2019",12/31/2019,6300
MID,Lodha Palava Downtown,PROJECT,"jan-mar,2017",03/31/2017,6100
MID,Lodha Regency,PROJECT,"apr-june,2021",06/30/2021,6600
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2020",12/31/2020,5650
MID,Lodha Palava Downtown,PROJECT,"july-sept,2022",09/30/2022,6450
Premium,Dombivli East,LOCALITY,"apr-june,2017",06/30/2017,6100
LUXURY,Runwal My City,PROJECT,"apr-june,2021",06/30/2021,7250
Premium,Dombivli East,LOCALITY,"apr-june,2008",06/30/2008,2750
MID,Lodha Regency,PROJECT,"apr-june,2022",06/30/2022,5900
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2019",06/30/2019,6100
MID,Lodha Lakeshore Greens,PROJECT,"july-sept,2019",09/30/2019,5750
LUXURY,Lodha Palava City,PROJECT,"apr-june,2022",06/30/2022,7050
LUXURY,Lodha Palava City,PROJECT,"jan-mar,2019",03/31/2019,6500
MID,Lodha Casa Bella,PROJECT,"jan-mar,2022",03/31/2022,6200
MID,Lodha Palava Downtown,PROJECT,"apr-june,2020",06/30/2020,5400
LUXURY,Runwal My City,PROJECT,"july-sept,2015",09/30/2015,5400
LUXURY,Lodha Casa Bella Gold,PROJECT,"july-sept,2015",09/30/2015,7750
MID,Lodha Lakeshore Greens,PROJECT,"apr-june,2022",06/30/2022,5600
LUXURY,Runwal My City,PROJECT,"july-sept,2018",09/30/2018,6850
LUXURY,Regency Anantam,PROJECT,"jan-mar,2020",03/31/2020,6000
MID,Lodha Casa Bella,PROJECT,"apr-june,2021",06/30/2021,6300
MID,Lodha Palava Downtown,PROJECT,"july-sept,2019",09/30/2019,6600
MID,Lodha Casa Bella,PROJECT,"apr-june,2022",06/30/2022,6550
MID,Lodha Lakeshore Greens,PROJECT,"oct-dec,2019",12/31/2019,5600
Premium,Dombivli East,LOCALITY,"july-sept,2017",09/30/2017,6200
Premium,Gograswadi,LOCALITY,"oct-dec,2020",12/31/2020,7100
MID,Lodha Casa Bella,PROJECT,"oct-dec,2020",12/31/2020,6900
Premium,Dombivli East,LOCALITY,"july-sept,2021",09/30/2021,6500
MID,Lodha Casa Bella,PROJECT,"oct-dec,2022",12/31/2022,6500
Premium,Dombivli East,LOCALITY,"july-sept,2016",09/30/2016,6250
MID,Lodha Regency,PROJECT,"oct-dec,2016",12/31/2016,6100
LUXURY,Lodha Palava City,PROJECT,"july-sept,2016",09/30/2016,6450
Premium,Dombivli East,LOCALITY,"jan-mar,2011",03/31/2011,4150
LUXURY,Runwal My City,PROJECT,"jan-mar,2021",03/31/2021,7150
Premium,Gograswadi,LOCALITY,"oct-dec,2018",12/31/2018,6800
MID,Lodha Regency,PROJECT,"jan-mar,2021",03/31/2021,6700
